사고번호,사고일시,사고장소,사고시간,구,구변수
2021082500100348,2021년 8월 25일 16시,대구광역시 동구 신천동,16,동구,3
2021082500100383,2021년 8월 25일 17시,대구광역시 동구 불로동,17,동구,3
2021082500100547,2021년 8월 25일 22시,대구광역시 북구 복현동,22,북구,4
2021082500100548,2021년 8월 25일 22시,대구광역시 서구 비산동,22,서구,5
2021082500100549,2021년 8월 25일 22시,대구광역시 중구 공평동,22,중구,7
2021082500100550,2021년 8월 25일 22시,대구광역시 달서구 용산동,22,달서구,1
2021082500100551,2021년 8월 25일 22시,대구광역시 북구 관음동,22,북구,4
2021082600100133,2021년 8월 26일 09시,대구광역시 동구 신천동,9,동구,3
2021082600100160,2021년 8월 26일 10시,대구광역시 수성구 중동,10,수성구,6
2021082600100257,2021년 8월 26일 13시,대구광역시 동구 방촌동,13,동구,3
2021082600100299,2021년 8월 26일 14시,대구광역시 수성구 수성동1가,14,수성구,6
2021082600100513,2021년 8월 26일 20시,대구광역시 수성구 황금동,20,수성구,6
2021082600100544,2021년 8월 26일 21시,대구광역시 북구 산격동,21,북구,4
2021082700100131,2021년 8월 27일 10시,대구광역시 동구 용계동,10,동구,3
2021082700100337,2021년 8월 27일 16시,대구광역시 중구 공평동,16,중구,7
2021082700100338,2021년 8월 27일 16시,대구광역시 달서구 이곡동,16,달서구,1
2021082700100339,2021년 8월 27일 16시,대구광역시 달서구 두류동,16,달서구,1
2021082700100378,2021년 8월 27일 17시,대구광역시 북구 읍내동,17,북구,4
2021082700100425,2021년 8월 27일 18시,대구광역시 남구 대명동,18,남구,0
2021082700100548,2021년 8월 27일 21시,대구광역시 수성구 신매동,21,수성구,6
2021082700100595,2021년 8월 27일 23시,대구광역시 중구 대신동,23,중구,7
2021082800100086,2021년 8월 28일 09시,대구광역시 북구 복현동,9,북구,4
2021082800100225,2021년 8월 28일 13시,대구광역시 수성구 범어동,13,수성구,6
2021082800100342,2021년 8월 28일 16시,대구광역시 북구 노원동1가,16,북구,4
2021082800100403,2021년 8월 28일 18시,대구광역시 동구 효목동,18,동구,3
