,사고번호,사고일시,시군구,구,lat,long
159,2021013000100522,2021년 1월 30일 21시,대구광역시 서구 내당동,서구,35.861253,128.5565513
160,2021013100100021,2021년 1월 31일 01시,대구광역시 북구 태전동,북구,35.91537,128.5483581
161,2021013100100193,2021년 1월 31일 15시,대구광역시 남구 대명동,남구,35.8546141,128.5844959
162,2021013100100307,2021년 1월 31일 19시,대구광역시 동구 신천동,동구,35.8753657,128.6283582
163,2021020100100034,2021년 2월 1일 06시,대구광역시 달서구 이곡동,달서구,35.8520678,128.5075549
164,2021020100100258,2021년 2월 1일 15시,대구광역시 북구 태전동,북구,35.93308,128.5443512
165,2021020100100447,2021년 2월 1일 20시,대구광역시 달서구 장기동,달서구,35.8502522,128.5200216
166,2021020200100026,2021년 2월 2일 06시,대구광역시 달서구 신당동,달서구,35.8535702,128.4984667
167,2021020200100095,2021년 2월 2일 09시,대구광역시 달서구 송현동,달서구,35.8265909,128.5480629
168,2021020200100115,2021년 2월 2일 10시,대구광역시 수성구 성동,수성구,35.8518714,128.7227489
169,2021020200100305,2021년 2월 2일 16시,대구광역시 달서구 용산동,달서구,35.8589696,128.521161
170,2021020200100336,2021년 2월 2일 17시,대구광역시 달서구 본동,달서구,35.8368391,128.5368627
171,2021020300100212,2021년 2월 3일 13시,대구광역시 북구 태전동,북구,35.9282381,128.5476229
172,2021020300100490,2021년 2월 3일 20시,대구광역시 남구 대명동,남구,35.8563382,128.5842844
173,2021020400100318,2021년 2월 4일 14시,대구광역시 수성구 만촌동,수성구,35.8605875,128.6474227
174,2021020400100585,2021년 2월 4일 21시,대구광역시 중구 삼덕동1가,중구,35.8666067,128.5988189
175,2021020500100070,2021년 2월 5일 08시,대구광역시 달서구 신당동,달서구,35.859711,128.4962288
176,2021020500100308,2021년 2월 5일 15시,대구광역시 수성구 범어동,수성구,35.8552759,128.6257375
3,2021020500100353,2021년 2월 5일 16시,대구광역시 중구 교동,,35.87178167,128.7240314
177,2021020600100117,2021년 2월 6일 11시,대구광역시 수성구 두산동,수성구,35.8325359,128.6206725
178,2021020600100200,2021년 2월 6일 13시,대구광역시 동구 효목동,동구,35.8765032,128.6397044
179,2021020600100289,2021년 2월 6일 16시,대구광역시 동구 용계동,동구,35.8746087,128.6935826
180,2021020600100405,2021년 2월 6일 19시,대구광역시 달서구 호산동,달서구,35.8515574,128.4815957
181,2021020600100436,2021년 2월 6일 20시,대구광역시 달서구 성당동,달서구,35.8398526,128.5542393
182,2021020700100285,2021년 2월 7일 18시,대구광역시 북구 산격동,북구,35.8925302,128.6037152
183,2021020700100286,2021년 2월 7일 18시,대구광역시 중구 공평동,중구,35.8690414,128.5960395
184,2021020800100003,2021년 2월 8일 00시,대구광역시 달서구 대곡동,달서구,35.8103681,128.5156021
185,2021020800100360,2021년 2월 8일 15시,대구광역시 북구 산격동,북구,35.9024298,128.6129575
186,2021020800100496,2021년 2월 8일 18시,대구광역시 달서구 상인동,달서구,35.8197774,128.5343733
187,2021020800100537,2021년 2월 8일 19시,대구광역시 북구 구암동,북구,35.9363088,128.5646415
188,2021020800100642,2021년 2월 8일 22시,대구광역시 달성군 다사읍,달성군,35.8636729,128.4597709
189,2021020900100058,2021년 2월 9일 07시,대구광역시 수성구 만촌동,수성구,35.8699726,128.6487963
190,2021020900100117,2021년 2월 9일 09시,대구광역시 달서구 장기동,달서구,35.8425482,128.5340584
191,2021020900100239,2021년 2월 9일 12시,대구광역시 달서구 장동,달서구,35.8389861,128.5158696
192,2021020900100285,2021년 2월 9일 13시,대구광역시 달서구 송현동,달서구,35.8335413,128.5544218
193,2021020900100328,2021년 2월 9일 14시,대구광역시 달서구 도원동,달서구,35.8028094,128.5508629
194,2021020900100331,2021년 2월 9일 14시,대구광역시 달서구 감삼동,달서구,35.8449704,128.5369411
195,2021020900100468,2021년 2월 9일 17시,대구광역시 달서구 두류동,달서구,35.8552044,128.5545505
196,2021020900100735,2021년 2월 9일 23시,대구광역시 수성구 연호동,수성구,35.8461091,128.6721884
197,2021021000100068,2021년 2월 10일 07시,대구광역시 동구 동호동,동구,35.8704719,128.7123774
198,2021021000100069,2021년 2월 10일 07시,대구광역시 달서구 용산동,달서구,35.8588357,128.532971
199,2021021000100163,2021년 2월 10일 10시,대구광역시 달서구 진천동,달서구,35.811009,128.526595
200,2021021000100209,2021년 2월 10일 11시,대구광역시 북구 대현동,북구,35.8820613,128.6095971
201,2021021000100323,2021년 2월 10일 14시,대구광역시 수성구 지산동,수성구,35.8213612,128.6316503
202,2021021000100324,2021년 2월 10일 14시,대구광역시 달성군 가창면,달성군,35.8011404,128.6226754
203,2021021000100364,2021년 2월 10일 15시,대구광역시 동구 신기동,동구,35.8694484,128.7055915
204,2021021000100458,2021년 2월 10일 17시,대구광역시 남구 대명동,남구,35.8563542,128.5843521
205,2021021000100461,2021년 2월 10일 17시,대구광역시 북구 침산동,북구,35.8888885,128.58642
206,2021021000100462,2021년 2월 10일 17시,대구광역시 달서구 두류동,달서구,35.8558422,128.5534679
207,2021021000100520,2021년 2월 10일 18시,대구광역시 북구 산격동,북구,35.8893725,128.6033803
208,2021021000100521,2021년 2월 10일 18시,대구광역시 중구 포정동,중구,35.8710015,128.5939763
209,2021021000100700,2021년 2월 10일 21시,대구광역시 중구 남산동,중구,35.8569696,128.5814711
210,2021021000100731,2021년 2월 10일 22시,대구광역시 북구 동천동,북구,35.9341201,128.5559824
211,2021021100100097,2021년 2월 11일 11시,대구광역시 북구 읍내동,북구,35.9428611,128.5505204
212,2021021100100356,2021년 2월 11일 22시,대구광역시 달서구 본리동,달서구,35.8375391,128.5339526
213,2021021100100357,2021년 2월 11일 22시,대구광역시 북구 읍내동,북구,35.9429829,128.5517264
214,2021021200100104,2021년 2월 12일 13시,대구광역시 수성구 범어동,수성구,35.8584744,128.6322792
